,id_gestor_vendas_senior,id_gestor_vendas_junior,data_atribuicao,ciclo,id_lead
176,SNR503MG,JNR1009MG,2/19/2022,4,USR1177
177,SNR503MG,JNR1009MG,2/19/2022,4,USR1178
178,SNR503MG,JNR1009MG,2/19/2022,4,USR1179
179,SNR503MG,JNR1009MG,2/19/2022,4,USR1180
180,SNR503MG,JNR1010MG,1/1/2022,1,USR1181
181,SNR503MG,JNR1010MG,1/1/2022,1,USR1182
182,SNR503MG,JNR1010MG,1/1/2022,1,USR1183
183,SNR503MG,JNR1010MG,1/1/2022,1,USR1184
184,SNR503MG,JNR1010MG,1/1/2022,1,USR1185
185,SNR503MG,JNR1010MG,1/8/2022,2,USR1186
186,SNR503MG,JNR1010MG,1/8/2022,2,USR1187
187,SNR503MG,JNR1010MG,1/8/2022,2,USR1188
188,SNR503MG,JNR1010MG,1/8/2022,2,USR1189
189,SNR503MG,JNR1010MG,1/8/2022,2,USR1190
190,SNR503MG,JNR1010MG,1/15/2022,3,USR1191
191,SNR503MG,JNR1010MG,1/15/2022,3,USR1192
192,SNR503MG,JNR1010MG,1/15/2022,3,USR1193
193,SNR503MG,JNR1010MG,1/15/2022,3,USR1194
194,SNR503MG,JNR1010MG,1/15/2022,3,USR1195
195,SNR503MG,JNR1010MG,2/19/2022,4,USR1196
196,SNR503MG,JNR1010MG,2/19/2022,4,USR1197
197,SNR503MG,JNR1010MG,2/19/2022,4,USR1198
198,SNR503MG,JNR1010MG,2/19/2022,4,USR1199
199,SNR503MG,JNR1010MG,2/19/2022,4,USR1200
200,SNR503MG,JNR1011MG,1/1/2022,1,USR1201
201,SNR503MG,JNR1011MG,1/1/2022,1,USR1202
202,SNR503MG,JNR1011MG,1/1/2022,1,USR1203
203,SNR503MG,JNR1011MG,1/1/2022,1,USR1204
204,SNR503MG,JNR1011MG,1/1/2022,1,USR1205
205,SNR503MG,JNR1011MG,1/8/2022,2,USR1206
206,SNR503MG,JNR1011MG,1/8/2022,2,USR1207
207,SNR503MG,JNR1011MG,1/8/2022,2,USR1208
208,SNR503MG,JNR1011MG,1/8/2022,2,USR1209
209,SNR503MG,JNR1011MG,1/8/2022,2,USR1210
210,SNR503MG,JNR1011MG,1/15/2022,3,USR1211
211,SNR503MG,JNR1011MG,1/15/2022,3,USR1212
212,SNR503MG,JNR1011MG,1/15/2022,3,USR1213
213,SNR503MG,JNR1011MG,1/15/2022,3,USR1214
214,SNR503MG,JNR1011MG,1/15/2022,3,USR1215
215,SNR503MG,JNR1011MG,2/19/2022,4,USR1216
216,SNR503MG,JNR1011MG,2/19/2022,4,USR1217
217,SNR503MG,JNR1011MG,2/19/2022,4,USR1218
218,SNR503MG,JNR1011MG,2/19/2022,4,USR1219
219,SNR503MG,JNR1011MG,2/19/2022,4,USR1220
220,SNR503MG,JNR1012MG,1/1/2022,1,USR1221
221,SNR503MG,JNR1012MG,1/1/2022,1,USR1222
222,SNR503MG,JNR1012MG,1/1/2022,1,USR1223
223,SNR503MG,JNR1012MG,1/1/2022,1,USR1224
224,SNR503MG,JNR1012MG,1/1/2022,1,USR1225
225,SNR503MG,JNR1012MG,1/8/2022,2,USR1226
226,SNR503MG,JNR1012MG,1/8/2022,2,USR1227
227,SNR503MG,JNR1012MG,1/8/2022,2,USR1228
228,SNR503MG,JNR1012MG,1/8/2022,2,USR1229
229,SNR503MG,JNR1012MG,1/8/2022,2,USR1230
230,SNR503MG,JNR1012MG,1/15/2022,3,USR1231
231,SNR503MG,JNR1012MG,1/15/2022,3,USR1232
232,SNR503MG,JNR1012MG,1/15/2022,3,USR1233
233,SNR503MG,JNR1012MG,1/15/2022,3,USR1234
234,SNR503MG,JNR1012MG,1/15/2022,3,USR1235
235,SNR503MG,JNR1012MG,2/19/2022,4,USR1236
236,SNR503MG,JNR1012MG,2/19/2022,4,USR1237
237,SNR503MG,JNR1012MG,2/19/2022,4,USR1238
238,SNR503MG,JNR1012MG,2/19/2022,4,USR1239
239,SNR503MG,JNR1012MG,2/19/2022,4,USR1240
240,SNR504MG,JNR1013MG,1/1/2022,1,USR1241
241,SNR504MG,JNR1013MG,1/1/2022,1,USR1242
242,SNR504MG,JNR1013MG,1/1/2022,1,USR1243
243,SNR504MG,JNR1013MG,1/1/2022,1,USR1244
244,SNR504MG,JNR1013MG,1/1/2022,1,USR1245
245,SNR504MG,JNR1013MG,1/8/2022,2,USR1246
246,SNR504MG,JNR1013MG,1/8/2022,2,USR1247
247,SNR504MG,JNR1013MG,1/8/2022,2,USR1248
248,SNR504MG,JNR1013MG,1/8/2022,2,USR1249
249,SNR504MG,JNR1013MG,1/8/2022,2,USR1250
250,SNR504MG,JNR1013MG,1/15/2022,3,USR1251
251,SNR504MG,JNR1013MG,1/15/2022,3,USR1252
252,SNR504MG,JNR1013MG,1/15/2022,3,USR1253
253,SNR504MG,JNR1013MG,1/15/2022,3,USR1254
254,SNR504MG,JNR1013MG,1/15/2022,3,USR1255
255,SNR504MG,JNR1013MG,2/19/2022,4,USR1256
256,SNR504MG,JNR1013MG,2/19/2022,4,USR1257
257,SNR504MG,JNR1013MG,2/19/2022,4,USR1258
258,SNR504MG,JNR1013MG,2/19/2022,4,USR1259
259,SNR504MG,JNR1013MG,2/19/2022,4,USR1260
260,SNR504MG,JNR1014MG,1/1/2022,1,USR1261
261,SNR504MG,JNR1014MG,1/1/2022,1,USR1262
262,SNR504MG,JNR1014MG,1/1/2022,1,USR1263
263,SNR504MG,JNR1014MG,1/1/2022,1,USR1264
264,SNR504MG,JNR1014MG,1/1/2022,1,USR1265
265,SNR504MG,JNR1014MG,1/8/2022,2,USR1266
266,SNR504MG,JNR1014MG,1/8/2022,2,USR1267
267,SNR504MG,JNR1014MG,1/8/2022,2,USR1268
268,SNR504MG,JNR1014MG,1/8/2022,2,USR1269
269,SNR504MG,JNR1014MG,1/8/2022,2,USR1270
270,SNR504MG,JNR1014MG,1/15/2022,3,USR1271
271,SNR504MG,JNR1014MG,1/15/2022,3,USR1272
272,SNR504MG,JNR1014MG,1/15/2022,3,USR1273
273,SNR504MG,JNR1014MG,1/15/2022,3,USR1274
274,SNR504MG,JNR1014MG,1/15/2022,3,USR1275
275,SNR504MG,JNR1014MG,2/19/2022,4,USR1276
276,SNR504MG,JNR1014MG,2/19/2022,4,USR1277
277,SNR504MG,JNR1014MG,2/19/2022,4,USR1278
278,SNR504MG,JNR1014MG,2/19/2022,4,USR1279
279,SNR504MG,JNR1014MG,2/19/2022,4,USR1280
280,SNR504MG,JNR1015MG,1/1/2022,1,USR1281
281,SNR504MG,JNR1015MG,1/1/2022,1,USR1282
282,SNR504MG,JNR1015MG,1/1/2022,1,USR1283
283,SNR504MG,JNR1015MG,1/1/2022,1,USR1284
284,SNR504MG,JNR1015MG,1/1/2022,1,USR1285
285,SNR504MG,JNR1015MG,1/8/2022,2,USR1286
286,SNR504MG,JNR1015MG,1/8/2022,2,USR1287
287,SNR504MG,JNR1015MG,1/8/2022,2,USR1288
288,SNR504MG,JNR1015MG,1/8/2022,2,USR1289
289,SNR504MG,JNR1015MG,1/8/2022,2,USR1290
290,SNR504MG,JNR1015MG,1/15/2022,3,USR1291
291,SNR504MG,JNR1015MG,1/15/2022,3,USR1292
292,SNR504MG,JNR1015MG,1/15/2022,3,USR1293
293,SNR504MG,JNR1015MG,1/15/2022,3,USR1294
294,SNR504MG,JNR1015MG,1/15/2022,3,USR1295
295,SNR504MG,JNR1015MG,2/19/2022,4,USR1296
296,SNR504MG,JNR1015MG,2/19/2022,4,USR1297
297,SNR504MG,JNR1015MG,2/19/2022,4,USR1298
298,SNR504MG,JNR1015MG,2/19/2022,4,USR1299
299,SNR504MG,JNR1015MG,2/19/2022,4,USR1300
300,SNR504MG,JNR1016MG,1/1/2022,1,USR1301
301,SNR504MG,JNR1016MG,1/1/2022,1,USR1302
302,SNR504MG,JNR1016MG,1/1/2022,1,USR1303
303,SNR504MG,JNR1016MG,1/1/2022,1,USR1304
304,SNR504MG,JNR1016MG,1/1/2022,1,USR1305
305,SNR504MG,JNR1016MG,1/8/2022,2,USR1306
306,SNR504MG,JNR1016MG,1/8/2022,2,USR1307
307,SNR504MG,JNR1016MG,1/8/2022,2,USR1308
308,SNR504MG,JNR1016MG,1/8/2022,2,USR1309
309,SNR504MG,JNR1016MG,1/8/2022,2,USR1310
310,SNR504MG,JNR1016MG,1/15/2022,3,USR1311
311,SNR504MG,JNR1016MG,1/15/2022,3,USR1312
312,SNR504MG,JNR1016MG,1/15/2022,3,USR1313
313,SNR504MG,JNR1016MG,1/15/2022,3,USR1314
314,SNR504MG,JNR1016MG,1/15/2022,3,USR1315
315,SNR504MG,JNR1016MG,2/19/2022,4,USR1316
316,SNR504MG,JNR1016MG,2/19/2022,4,USR1317
317,SNR504MG,JNR1016MG,2/19/2022,4,USR1318
318,SNR504MG,JNR1016MG,2/19/2022,4,USR1319
319,SNR504MG,JNR1016MG,2/19/2022,4,USR1320
320,SNR501MG,JNR1001MG,2/19/2022,4,USR1321
321,SNR503MG,JNR1012MG,1/15/2022,3,USR1322
322,SNR503MG,JNR1010MG,1/8/2022,2,USR1323
323,SNR504MG,JNR1015MG,1/1/2022,1,USR1324
324,SNR501MG,JNR1001MG,1/1/2022,1,USR1325
325,SNR501MG,JNR1001MG,1/8/2022,2,USR1326
326,SNR501MG,JNR1001MG,1/15/2022,3,USR1327
327,SNR504MG,JNR1016MG,2/19/2022,4,USR1328
328,SNR504MG,JNR1016MG,1/1/2022,1,USR1329
329,SNR504MG,JNR1016MG,1/8/2022,2,USR1330
330,SNR504MG,JNR1016MG,1/15/2022,3,USR1331
331,SNR504MG,JNR1016MG,2/19/2022,4,USR1332
332,SNR504MG,JNR1016MG,1/1/2022,1,USR1333
333,SNR504MG,JNR1016MG,1/8/2022,2,USR1334
334,SNR503MG,JNR1011MG,1/1/2022,1,USR1335
335,SNR503MG,JNR1011MG,1/1/2022,1,USR1336
336,SNR503MG,JNR1011MG,1/1/2022,1,USR1337
337,SNR503MG,JNR1011MG,1/1/2022,1,USR1338
338,SNR503MG,JNR1011MG,1/1/2022,1,USR1339
339,SNR503MG,JNR1011MG,1/1/2022,1,USR1340
340,SNR503MG,JNR1012MG,1/1/2022,1,USR1341
341,SNR503MG,JNR1012MG,1/1/2022,1,USR1342
342,SNR503MG,JNR1012MG,1/15/2022,3,USR1343
343,SNR503MG,JNR1012MG,2/19/2022,4,USR1344
344,SNR503MG,JNR1012MG,1/1/2022,1,USR1345
345,SNR503MG,JNR1012MG,1/8/2022,2,USR1346
346,SNR503MG,JNR1012MG,1/15/2022,3,USR1347
347,SNR503MG,JNR1012MG,2/19/2022,4,USR1348
348,SNR503MG,JNR1012MG,1/8/2022,2,USR1349
349,SNR503MG,JNR1012MG,1/8/2022,2,USR1350
350,SNR501MG,JNR1001MG,1/8/2022,2,USR1351
351,SNR501MG,JNR1001MG,1/8/2022,2,USR1352
352,SNR501MG,JNR1001MG,1/8/2022,2,USR1353
353,SNR501MG,JNR1001MG,2/19/2022,4,USR1354
354,SNR501MG,JNR1001MG,1/15/2022,3,USR1355
355,SNR501MG,JNR1001MG,2/19/2022,4,USR1356
356,SNR501MG,JNR1001MG,1/1/2022,1,USR1357
357,SNR501MG,JNR1001MG,1/8/2022,2,USR1358
358,SNR501MG,JNR1001MG,1/15/2022,3,USR1359
359,SNR501MG,JNR1001MG,2/19/2022,4,USR1360
