,id_lead,data_demo_assistida,linguagem,porcentagem_assistida
133,USR1213,1/20/2022,Telugu,233
134,USR1215,1/17/2022,Telugu,27
135,USR1217,2/22/2022,English,14
136,USR1218,2/21/2022,Telugu,85
137,USR1222,1/6/2022,English,25
138,USR1223,1/3/2022,Telugu,23
139,USR1225,1/5/2022,Hindi,21
140,USR1227,1/9/2022,English,73
141,USR1230,1/11/2022,English,74
142,USR1231,1/19/2022,English,19
143,USR1232,1/20/2022,Telugu,75
144,USR1233,1/22/2022,English,17
145,USR1235,1/18/2022,English,80
146,USR1237,2/21/2022,English,80
147,USR1238,2/22/2022,Telugu,80
148,USR1242,1/3/2022,Telugu,16
149,USR1243,1/4/2022,Telugu,17
150,USR1247,1/10/2022,Telugu,76
151,USR1250,1/11/2022,Telugu,77
152,USR1251,1/17/2022,Telugu,80
153,USR1252,1/17/2022,Telugu,18
154,USR1253,1/19/2022,English,80
155,USR1255,1/18/2022,English,80
156,USR1257,2/25/2022,English,19
157,USR1258,2/26/2022,English,80
158,USR1262,1/7/2022,English,80
159,USR1263,1/9/2022,English,80
160,USR1265,1/8/2022,English,20
161,USR1267,1/14/2022,Telugu,79
162,USR1270,1/13/2022,Telugu,78
163,USR1271,1/19/2022,Telugu,77
164,USR1272,1/17/2022,English,76
165,USR1273,1/19/2022,English,91
166,USR1275,1/18/2022,English,75
167,USR1277,2/21/2022,Telugu,74
168,USR1278,2/21/2022,English,73
169,USR1282,1/5/2022,Telugu,72
170,USR1283,1/9/2022,English,78
171,USR1287,1/10/2022,English,79
172,USR1290,1/12/2022,English,71
173,USR1291,1/17/2022,English,22
174,USR1292,1/17/2022,English,70
175,USR1293,1/21/2022,English,23
176,USR1295,1/18/2022,English,24
177,USR1297,2/22/2022,English,69
178,USR1298,2/21/2022,English,12
179,USR1302,1/4/2022,English,20
180,USR1303,1/3/2022,English,80
181,USR1305,1/6/2022,English,81
182,USR1307,1/10/2022,English,28
183,USR1310,1/12/2022,English,82
184,USR1311,1/18/2022,English,36
185,USR1312,1/17/2022,English,44
186,USR1313,1/21/2022,English,52
187,USR1314,1/19/2022,English,60
188,USR1315,1/18/2022,English,44
189,USR1317,2/25/2022,English,48
190,USR1318,2/25/2022,English,83
191,USR1319,2/28/2022,English,84
192,USR1343,1/25/2022,English,68
193,USR1348,2/27/2022,English,72
