,id_gerente_junior,id_lead,estagio_lead,data_da_ligacao,status_da_ligacao,motivo_da_ligacao
63,JNR1001MG,USR1013,lead,1/17/2022,unsuccessful,lead_introduction
64,JNR1001MG,USR1013,lead,1/18/2022,successful,lead_introduction
65,JNR1001MG,USR1013,lead,1/20/2022,unsuccessful,demo_schedule
66,JNR1001MG,USR1013,lead,1/18/2022,successful,demo_schedule
67,JNR1001MG,USR1013,lead,1/19/2022,successful,demo_not_attended
68,JNR1001MG,USR1013,awareness,1/19/2022,successful,post_demo_followup
69,JNR1001MG,USR1013,consideration,1/20/2022,unsuccessful,interested_for_conversion
70,JNR1001MG,USR1013,consideration,1/21/2022,successful,followup_for_conversion
71,JNR1001MG,USR1013,consideration,1/20/2022,successful,interested_for_conversion
72,JNR1001MG,USR1013,conversion,1/21/2022,successful,successful_conversion
73,JNR1001MG,USR1014,lead,1/17/2022,successful,lead_introduction
74,JNR1001MG,USR1014,lead,1/18/2022,successful,demo_schedule
75,JNR1001MG,USR1014,awareness,1/19/2022,successful,post_demo_followup
76,JNR1001MG,USR1015,lead,1/15/2022,unsuccessful,lead_introduction
77,JNR1001MG,USR1015,lead,1/16/2022,successful,lead_introduction
78,JNR1001MG,USR1015,lead,1/18/2022,successful,demo_schedule
79,JNR1001MG,USR1015,awareness,1/19/2022,successful,post_demo_followup
80,JNR1001MG,USR1015,awareness,1/20/2022,successful,followup_for_consideration
81,JNR1001MG,USR1016,lead,2/19/2022,successful,lead_introduction
82,JNR1001MG,USR1016,lead,2/19/2022,successful,demo_schedule
83,JNR1001MG,USR1016,awareness,2/21/2022,successful,post_demo_followup
84,JNR1001MG,USR1016,lead,2/21/2022,unsuccessful,demo_not_attended
85,JNR1001MG,USR1017,lead,2/19/2022,successful,lead_introduction
86,JNR1001MG,USR1017,lead,2/19/2022,successful,demo_schedule
87,JNR1001MG,USR1017,awareness,2/19/2022,successful,post_demo_followup
88,JNR1001MG,USR1017,awareness,2/20/2022,successful,followup_for_consideration
89,JNR1001MG,USR1017,consideration,2/21/2022,successful,interested_for_conversion
90,JNR1001MG,USR1017,consideration,2/21/2022,successful,followup_for_conversion
91,JNR1001MG,USR1017,consideration,2/21/2022,successful,followup_for_conversion
92,JNR1001MG,USR1017,conversion,2/21/2022,successful,successful_conversion
93,JNR1001MG,USR1018,lead,2/19/2022,unsuccessful,lead_introduction
94,JNR1001MG,USR1018,lead,2/19/2022,successful,lead_introduction
95,JNR1001MG,USR1018,lead,2/19/2022,successful,demo_schedule
96,JNR1001MG,USR1018,lead,2/22/2022,successful,demo_not_attended
97,JNR1001MG,USR1018,awareness,2/22/2022,successful,post_demo_followup
98,JNR1001MG,USR1019,lead,2/19/2022,successful,lead_introduction
99,JNR1001MG,USR1019,lead,2/21/2022,successful,demo_schedule
100,JNR1001MG,USR1019,awareness,2/21/2022,successful,post_demo_followup
101,JNR1001MG,USR1020,lead,2/19/2022,unsuccessful,lead_introduction
102,JNR1001MG,USR1020,lead,2/20/2022,successful,lead_introduction
103,JNR1001MG,USR1020,lead,2/21/2022,successful,demo_schedule
104,JNR1001MG,USR1020,awareness,2/22/2022,successful,post_demo_followup
105,JNR1002MG,USR1021,lead,1/1/2022,successful,lead_introduction
106,JNR1002MG,USR1021,lead,1/2/2022,successful,demo_schedule
107,JNR1002MG,USR1021,awareness,1/3/2022,successful,post_demo_followup
108,JNR1002MG,USR1022,lead,1/1/2022,successful,lead_introduction
109,JNR1002MG,USR1022,lead,1/3/2022,successful,demo_schedule
110,JNR1002MG,USR1022,awareness,1/7/2022,successful,post_demo_followup
111,JNR1002MG,USR1022,consideration,1/8/2022,successful,interested_for_conversion
112,JNR1002MG,USR1022,consideration,1/9/2022,successful,followup_for_conversion
113,JNR1002MG,USR1022,consideration,1/9/2022,successful,followup_for_conversion
114,JNR1002MG,USR1022,conversion,1/9/2022,successful,successful_conversion
115,JNR1002MG,USR1023,lead,1/1/2022,unsuccessful,lead_introduction
116,JNR1002MG,USR1023,lead,1/1/2022,successful,lead_introduction
117,JNR1002MG,USR1023,lead,1/1/2022,successful,demo_schedule
118,JNR1002MG,USR1023,lead,1/1/2022,successful,demo_not_attended
119,JNR1002MG,USR1023,awareness,1/1/2022,successful,post_demo_followup
120,JNR1002MG,USR1023,consideration,1/2/2022,successful,interested_for_conversion
121,JNR1002MG,USR1023,consideration,1/3/2022,successful,followup_for_conversion
122,JNR1002MG,USR1023,consideration,1/3/2022,successful,followup_for_conversion
123,JNR1002MG,USR1023,conversion,1/3/2022,successful,successful_conversion
124,JNR1002MG,USR1024,lead,1/2/2022,successful,lead_introduction
125,JNR1002MG,USR1024,lead,1/2/2022,successful,demo_schedule
126,JNR1002MG,USR1024,awareness,1/3/2022,successful,post_demo_followup
127,JNR1002MG,USR1025,lead,1/3/2022,unsuccessful,lead_introduction
128,JNR1002MG,USR1025,lead,1/4/2022,successful,lead_introduction
129,JNR1002MG,USR1025,lead,1/4/2022,successful,demo_schedule
130,JNR1002MG,USR1025,awareness,1/6/2022,successful,post_demo_followup
131,JNR1002MG,USR1025,awareness,1/7/2022,successful,followup_for_consideration
132,JNR1002MG,USR1025,consideration,1/8/2022,successful,interested_for_conversion
133,JNR1002MG,USR1025,awareness,1/7/2022,successful,followup_for_consideration
134,JNR1002MG,USR1025,consideration,1/8/2022,successful,followup_for_conversion
135,JNR1002MG,USR1025,conversion,1/8/2022,successful,successful_conversion
136,JNR1002MG,USR1026,lead,1/8/2022,successful,lead_introduction
137,JNR1002MG,USR1026,lead,1/10/2022,successful,demo_schedule
138,JNR1002MG,USR1026,awareness,1/10/2022,successful,post_demo_followup
139,JNR1002MG,USR1027,lead,1/8/2022,successful,lead_introduction
140,JNR1002MG,USR1027,lead,1/9/2022,successful,demo_schedule
141,JNR1002MG,USR1027,lead,1/10/2022,successful,demo_not_attended
142,JNR1002MG,USR1027,awareness,1/10/2022,successful,post_demo_followup
143,JNR1002MG,USR1027,consideration,1/11/2022,successful,interested_for_conversion
144,JNR1002MG,USR1027,consideration,1/12/2022,successful,followup_for_conversion
145,JNR1002MG,USR1027,consideration,1/11/2022,unsuccessful,followup_for_conversion
146,JNR1002MG,USR1027,consideration,1/12/2022,successful,followup_for_conversion
147,JNR1002MG,USR1028,lead,1/8/2022,unsuccessful,lead_introduction
148,JNR1002MG,USR1028,lead,1/8/2022,successful,lead_introduction
149,JNR1002MG,USR1028,lead,1/9/2022,successful,demo_schedule
150,JNR1002MG,USR1028,awareness,1/10/2022,successful,post_demo_followup
151,JNR1002MG,USR1029,lead,1/8/2022,successful,lead_introduction
152,JNR1002MG,USR1029,lead,1/10/2022,successful,demo_schedule
153,JNR1002MG,USR1029,awareness,1/10/2022,successful,post_demo_followup
154,JNR1002MG,USR1030,lead,1/8/2022,unsuccessful,lead_introduction
155,JNR1002MG,USR1030,lead,1/9/2022,successful,lead_introduction
156,JNR1002MG,USR1030,lead,1/10/2022,successful,demo_schedule
157,JNR1002MG,USR1030,awareness,1/11/2022,successful,post_demo_followup
158,JNR1002MG,USR1030,awareness,1/12/2022,successful,followup_for_consideration
159,JNR1002MG,USR1031,lead,1/15/2022,successful,lead_introduction
160,JNR1002MG,USR1031,lead,1/17/2022,successful,demo_schedule
161,JNR1002MG,USR1031,awareness,1/17/2022,successful,post_demo_followup
162,JNR1002MG,USR1031,awareness,1/18/2022,successful,followup_for_consideration
163,JNR1002MG,USR1031,consideration,1/19/2022,successful,interested_for_conversion
164,JNR1002MG,USR1031,consideration,1/19/2022,successful,followup_for_conversion
165,JNR1002MG,USR1031,consideration,1/19/2022,successful,followup_for_conversion
166,JNR1002MG,USR1031,conversion,1/19/2022,successful,successful_conversion
167,JNR1002MG,USR1032,lead,1/15/2022,successful,lead_introduction
168,JNR1002MG,USR1032,lead,1/15/2022,successful,demo_schedule
169,JNR1002MG,USR1032,awareness,1/16/2022,successful,post_demo_followup
170,JNR1002MG,USR1032,lead,1/16/2022,successful,demo_not_attended
171,JNR1002MG,USR1032,awareness,1/17/2022,successful,followup_for_consideration
172,JNR1002MG,USR1032,consideration,1/17/2022,successful,interested_for_conversion
173,JNR1002MG,USR1032,consideration,1/17/2022,successful,followup_for_conversion
174,JNR1002MG,USR1032,consideration,1/17/2022,successful,followup_for_conversion
175,JNR1002MG,USR1032,conversion,1/17/2022,successful,successful_conversion
176,JNR1002MG,USR1033,lead,1/17/2022,unsuccessful,lead_introduction
177,JNR1002MG,USR1033,lead,1/18/2022,successful,lead_introduction
178,JNR1002MG,USR1033,lead,1/19/2022,unsuccessful,demo_schedule
179,JNR1002MG,USR1033,lead,1/20/2022,successful,demo_schedule
180,JNR1002MG,USR1033,awareness,1/21/2022,successful,post_demo_followup
181,JNR1002MG,USR1033,awareness,1/22/2022,successful,followup_for_consideration
182,JNR1002MG,USR1033,consideration,1/22/2022,successful,interested_for_conversion
183,JNR1002MG,USR1033,consideration,1/22/2022,successful,followup_for_conversion
184,JNR1002MG,USR1033,consideration,1/22/2022,successful,followup_for_conversion
185,JNR1002MG,USR1033,conversion,1/22/2022,successful,successful_conversion
186,JNR1002MG,USR1034,lead,1/17/2022,successful,lead_introduction
187,JNR1002MG,USR1034,lead,1/17/2022,successful,demo_schedule
188,JNR1002MG,USR1034,awareness,1/19/2022,successful,post_demo_followup
189,JNR1002MG,USR1035,lead,1/15/2022,unsuccessful,lead_introduction
190,JNR1002MG,USR1035,lead,1/16/2022,successful,lead_introduction
191,JNR1002MG,USR1035,lead,1/16/2022,successful,demo_schedule
192,JNR1002MG,USR1035,awareness,1/17/2022,successful,post_demo_followup
193,JNR1002MG,USR1035,awareness,1/18/2022,successful,followup_for_consideration
194,JNR1002MG,USR1036,lead,2/19/2022,successful,lead_introduction
195,JNR1002MG,USR1036,lead,2/19/2022,successful,demo_schedule
196,JNR1002MG,USR1036,awareness,2/21/2022,successful,post_demo_followup
197,JNR1002MG,USR1036,awareness,2/21/2022,successful,post_demo_followup
198,JNR1002MG,USR1036,awareness,2/23/2022,unsuccessful,followup_for_consideration
199,JNR1002MG,USR1036,awareness,2/23/2022,successful,followup_for_consideration
200,JNR1002MG,USR1037,lead,2/19/2022,successful,lead_introduction
201,JNR1002MG,USR1037,lead,2/21/2022,successful,demo_schedule
202,JNR1002MG,USR1037,awareness,2/22/2022,successful,post_demo_followup
203,JNR1002MG,USR1037,awareness,2/23/2022,successful,followup_for_consideration
204,JNR1002MG,USR1037,awareness,2/23/2022,unsuccessful,followup_for_consideration
205,JNR1002MG,USR1037,awareness,2/23/2022,successful,followup_for_consideration
206,JNR1002MG,USR1037,awareness,2/23/2022,successful,followup_for_consideration
207,JNR1002MG,USR1037,consideration,2/24/2022,successful,interested_for_conversion
208,JNR1002MG,USR1037,consideration,2/25/2022,successful,followup_for_conversion
209,JNR1002MG,USR1037,consideration,2/25/2022,unsuccessful,followup_for_conversion
210,JNR1002MG,USR1037,conversion,2/25/2022,successful,successful_conversion
211,JNR1002MG,USR1038,lead,2/19/2022,unsuccessful,lead_introduction
212,JNR1002MG,USR1038,lead,2/19/2022,successful,lead_introduction
213,JNR1002MG,USR1038,lead,2/20/2022,successful,demo_schedule
214,JNR1002MG,USR1038,awareness,2/21/2022,successful,post_demo_followup
215,JNR1002MG,USR1038,awareness,2/22/2022,successful,followup_for_consideration
216,JNR1002MG,USR1038,awareness,2/22/2022,successful,followup_for_consideration
217,JNR1002MG,USR1038,awareness,2/22/2022,successful,followup_for_consideration
218,JNR1002MG,USR1039,lead,2/19/2022,successful,lead_introduction
219,JNR1002MG,USR1039,lead,2/20/2022,successful,demo_schedule
220,JNR1002MG,USR1039,awareness,2/21/2022,successful,post_demo_followup
221,JNR1002MG,USR1039,awareness,2/22/2022,successful,followup_for_consideration
222,JNR1002MG,USR1040,lead,2/21/2022,unsuccessful,lead_introduction
223,JNR1002MG,USR1040,lead,2/22/2022,successful,lead_introduction
224,JNR1002MG,USR1040,lead,2/24/2022,successful,demo_schedule
225,JNR1002MG,USR1040,awareness,2/25/2022,successful,post_demo_followup
226,JNR1003MG,USR1041,lead,1/1/2022,successful,lead_introduction
227,JNR1003MG,USR1041,lead,1/1/2022,successful,demo_schedule
228,JNR1003MG,USR1041,awareness,1/3/2022,successful,post_demo_followup
229,JNR1003MG,USR1041,awareness,1/4/2022,successful,followup_for_consideration
230,JNR1003MG,USR1041,awareness,1/4/2022,unsuccessful,followup_for_consideration
231,JNR1003MG,USR1041,awareness,1/4/2022,successful,followup_for_consideration
232,JNR1003MG,USR1042,lead,1/1/2022,successful,lead_introduction
233,JNR1003MG,USR1042,lead,1/1/2022,successful,demo_schedule
234,JNR1003MG,USR1042,awareness,1/1/2022,successful,post_demo_followup
235,JNR1003MG,USR1042,awareness,1/2/2022,successful,followup_for_consideration
236,JNR1003MG,USR1042,awareness,1/2/2022,unsuccessful,followup_for_consideration
237,JNR1003MG,USR1042,awareness,1/2/2022,successful,followup_for_consideration
238,JNR1003MG,USR1042,awareness,1/2/2022,successful,followup_for_consideration
239,JNR1003MG,USR1042,consideration,1/3/2022,successful,interested_for_conversion
240,JNR1003MG,USR1042,consideration,1/4/2022,unsuccessful,followup_for_conversion
241,JNR1003MG,USR1042,consideration,1/4/2022,successful,followup_for_conversion
242,JNR1003MG,USR1042,conversion,1/4/2022,successful,successful_conversion
243,JNR1003MG,USR1043,lead,1/1/2022,unsuccessful,lead_introduction
244,JNR1003MG,USR1043,lead,1/1/2022,successful,lead_introduction
245,JNR1003MG,USR1043,lead,1/1/2022,successful,demo_schedule
246,JNR1003MG,USR1043,awareness,1/1/2022,successful,post_demo_followup
247,JNR1003MG,USR1043,awareness,1/2/2022,successful,followup_for_consideration
248,JNR1003MG,USR1043,awareness,1/2/2022,successful,followup_for_consideration
249,JNR1003MG,USR1043,awareness,1/2/2022,successful,followup_for_consideration
250,JNR1003MG,USR1044,lead,1/1/2022,successful,lead_introduction
251,JNR1003MG,USR1044,lead,1/3/2022,successful,demo_schedule
252,JNR1003MG,USR1044,awareness,1/3/2022,successful,post_demo_followup
253,JNR1003MG,USR1044,awareness,1/4/2022,successful,followup_for_consideration
254,JNR1003MG,USR1045,lead,1/1/2022,unsuccessful,lead_introduction
255,JNR1003MG,USR1045,lead,1/2/2022,successful,lead_introduction
256,JNR1003MG,USR1045,lead,1/3/2022,successful,demo_schedule
257,JNR1003MG,USR1045,awareness,1/4/2022,successful,post_demo_followup
258,JNR1003MG,USR1046,lead,1/8/2022,successful,lead_introduction
259,JNR1003MG,USR1046,lead,1/8/2022,successful,demo_schedule
260,JNR1003MG,USR1046,awareness,1/10/2022,successful,post_demo_followup
261,JNR1003MG,USR1046,awareness,1/10/2022,successful,followup_for_consideration
262,JNR1003MG,USR1046,awareness,1/10/2022,unsuccessful,followup_for_consideration
263,JNR1003MG,USR1046,awareness,1/10/2022,successful,followup_for_consideration
264,JNR1003MG,USR1047,lead,1/8/2022,successful,lead_introduction
265,JNR1003MG,USR1047,lead,1/8/2022,successful,demo_schedule
266,JNR1003MG,USR1047,awareness,1/8/2022,successful,post_demo_followup
267,JNR1003MG,USR1047,awareness,1/8/2022,successful,followup_for_consideration
268,JNR1003MG,USR1047,consideration,1/8/2022,successful,interested_for_conversion
269,JNR1003MG,USR1047,consideration,1/8/2022,successful,followup_for_conversion
270,JNR1003MG,USR1047,consideration,1/8/2022,successful,followup_for_conversion
271,JNR1003MG,USR1047,conversion,1/8/2022,successful,successful_conversion
272,JNR1003MG,USR1048,lead,1/8/2022,unsuccessful,lead_introduction
273,JNR1003MG,USR1048,lead,1/8/2022,successful,lead_introduction
274,JNR1003MG,USR1048,lead,1/10/2022,successful,demo_schedule
275,JNR1003MG,USR1048,lead,1/11/2022,successful,demo_not_attended
276,JNR1003MG,USR1048,lead,1/11/2022,successful,demo_not_attended
277,JNR1003MG,USR1049,lead,1/8/2022,successful,lead_introduction
278,JNR1003MG,USR1049,lead,1/9/2022,successful,demo_schedule
279,JNR1003MG,USR1049,lead,1/10/2022,successful,demo_not_attended
280,JNR1003MG,USR1050,lead,1/8/2022,unsuccessful,lead_introduction
281,JNR1003MG,USR1050,lead,1/9/2022,successful,lead_introduction
282,JNR1003MG,USR1050,lead,1/10/2022,successful,demo_schedule
283,JNR1003MG,USR1050,lead,1/14/2022,successful,demo_not_attended
284,JNR1003MG,USR1050,lead,1/14/2022,successful,demo_not_attended
285,JNR1003MG,USR1050,lead,1/14/2022,successful,demo_not_attended
286,JNR1003MG,USR1050,awareness,1/14/2022,successful,post_demo_followup
287,JNR1003MG,USR1051,lead,1/15/2022,successful,lead_introduction
288,JNR1003MG,USR1051,lead,1/17/2022,successful,demo_schedule
289,JNR1003MG,USR1051,lead,1/20/2022,successful,demo_not_attended
290,JNR1003MG,USR1051,lead,1/20/2022,successful,demo_not_attended
291,JNR1003MG,USR1051,lead,1/20/2022,unsuccessful,demo_not_attended
292,JNR1003MG,USR1051,lead,1/20/2022,successful,demo_not_attended
293,JNR1003MG,USR1051,awareness,1/20/2022,successful,post_demo_followup
294,JNR1003MG,USR1051,consideration,1/21/2022,successful,interested_for_conversion
295,JNR1003MG,USR1051,consideration,1/22/2022,successful,followup_for_conversion
296,JNR1003MG,USR1051,consideration,1/22/2022,successful,followup_for_conversion
297,JNR1003MG,USR1051,conversion,1/22/2022,successful,successful_conversion
298,JNR1003MG,USR1052,lead,1/15/2022,successful,lead_introduction
299,JNR1003MG,USR1052,lead,1/16/2022,successful,demo_schedule
300,JNR1003MG,USR1052,lead,1/17/2022,successful,demo_not_attended
301,JNR1003MG,USR1052,lead,1/17/2022,successful,demo_not_attended
302,JNR1003MG,USR1052,awareness,1/17/2022,successful,post_demo_followup
303,JNR1003MG,USR1052,consideration,1/18/2022,successful,interested_for_conversion
304,JNR1003MG,USR1052,consideration,1/19/2022,successful,followup_for_conversion
305,JNR1003MG,USR1052,consideration,1/19/2022,successful,followup_for_conversion
306,JNR1003MG,USR1052,conversion,1/19/2022,successful,successful_conversion
307,JNR1003MG,USR1053,lead,1/17/2022,unsuccessful,lead_introduction
308,JNR1003MG,USR1053,lead,1/18/2022,successful,lead_introduction
309,JNR1003MG,USR1053,lead,1/20/2022,unsuccessful,demo_schedule
310,JNR1003MG,USR1053,lead,1/18/2022,successful,demo_schedule
311,JNR1003MG,USR1053,lead,1/19/2022,successful,demo_not_attended
312,JNR1003MG,USR1053,lead,1/19/2022,successful,demo_not_attended
313,JNR1003MG,USR1053,awareness,1/19/2022,successful,post_demo_followup
314,JNR1003MG,USR1053,consideration,1/20/2022,successful,interested_for_conversion
315,JNR1003MG,USR1053,consideration,1/21/2022,successful,followup_for_conversion
316,JNR1003MG,USR1053,consideration,1/21/2022,successful,followup_for_conversion
317,JNR1003MG,USR1053,conversion,1/21/2022,successful,successful_conversion
318,JNR1003MG,USR1054,lead,1/17/2022,successful,lead_introduction
319,JNR1003MG,USR1054,lead,1/18/2022,successful,demo_schedule
320,JNR1003MG,USR1054,lead,1/19/2022,successful,demo_not_attended
321,JNR1003MG,USR1055,lead,1/15/2022,unsuccessful,lead_introduction
322,JNR1003MG,USR1055,lead,1/16/2022,successful,lead_introduction
323,JNR1003MG,USR1055,lead,1/18/2022,successful,demo_schedule
324,JNR1003MG,USR1055,lead,1/18/2022,successful,demo_not_attended
325,JNR1003MG,USR1055,lead,1/18/2022,successful,demo_not_attended
326,JNR1003MG,USR1055,lead,1/18/2022,successful,demo_not_attended
327,JNR1003MG,USR1055,awareness,1/18/2022,successful,post_demo_followup
328,JNR1003MG,USR1056,lead,2/21/2022,successful,lead_introduction
329,JNR1003MG,USR1056,lead,2/21/2022,successful,demo_schedule
330,JNR1003MG,USR1056,lead,2/22/2022,successful,demo_not_attended
331,JNR1003MG,USR1056,lead,2/22/2022,successful,demo_not_attended
332,JNR1003MG,USR1056,lead,2/22/2022,unsuccessful,demo_not_attended
333,JNR1003MG,USR1056,lead,2/22/2022,successful,demo_not_attended
334,JNR1003MG,USR1057,lead,2/22/2022,successful,lead_introduction
335,JNR1003MG,USR1057,lead,2/22/2022,successful,demo_schedule
336,JNR1003MG,USR1057,lead,2/23/2022,successful,demo_not_attended
337,JNR1003MG,USR1057,lead,2/23/2022,successful,demo_not_attended
338,JNR1003MG,USR1057,lead,2/23/2022,unsuccessful,demo_not_attended
339,JNR1003MG,USR1057,lead,2/23/2022,successful,demo_not_attended
340,JNR1003MG,USR1057,awareness,2/23/2022,successful,post_demo_followup
341,JNR1003MG,USR1057,consideration,2/24/2022,unsuccessful,interested_for_conversion
342,JNR1003MG,USR1057,consideration,2/25/2022,unsuccessful,followup_for_conversion
343,JNR1003MG,USR1057,consideration,2/24/2022,successful,followup_for_conversion
344,JNR1003MG,USR1057,conversion,2/25/2022,successful,successful_conversion
345,JNR1003MG,USR1058,lead,2/19/2022,unsuccessful,lead_introduction
346,JNR1003MG,USR1058,lead,2/19/2022,successful,lead_introduction
347,JNR1003MG,USR1058,lead,2/19/2022,successful,demo_schedule
348,JNR1003MG,USR1058,lead,2/22/2022,successful,demo_not_attended
349,JNR1003MG,USR1058,lead,2/22/2022,successful,demo_not_attended
350,JNR1003MG,USR1058,lead,2/22/2022,successful,demo_not_attended
351,JNR1003MG,USR1058,awareness,2/22/2022,successful,post_demo_followup
352,JNR1003MG,USR1059,lead,2/19/2022,successful,lead_introduction
353,JNR1003MG,USR1059,lead,2/21/2022,successful,demo_schedule
354,JNR1003MG,USR1059,lead,2/22/2022,successful,demo_not_attended
355,JNR1003MG,USR1059,lead,2/22/2022,successful,demo_not_attended
356,JNR1003MG,USR1060,lead,2/19/2022,unsuccessful,lead_introduction
357,JNR1003MG,USR1060,lead,2/20/2022,successful,lead_introduction
358,JNR1003MG,USR1060,lead,2/21/2022,successful,demo_schedule
359,JNR1003MG,USR1060,lead,2/22/2022,successful,demo_not_attended
360,JNR1004MG,USR1061,lead,1/3/2022,successful,lead_introduction
361,JNR1004MG,USR1061,lead,1/4/2022,successful,demo_schedule
362,JNR1004MG,USR1062,lead,1/4/2022,successful,lead_introduction
363,JNR1004MG,USR1062,lead,1/6/2022,successful,demo_schedule
364,JNR1004MG,USR1062,lead,1/7/2022,successful,demo_not_attended
365,JNR1004MG,USR1062,lead,1/7/2022,successful,demo_not_attended
366,JNR1004MG,USR1062,lead,1/7/2022,unsuccessful,demo_not_attended
367,JNR1004MG,USR1062,lead,1/7/2022,successful,demo_not_attended
368,JNR1004MG,USR1062,awareness,1/7/2022,successful,post_demo_followup
369,JNR1004MG,USR1062,consideration,1/8/2022,successful,interested_for_conversion
370,JNR1004MG,USR1062,consideration,1/9/2022,successful,followup_for_conversion
371,JNR1004MG,USR1062,consideration,1/9/2022,successful,followup_for_conversion
372,JNR1004MG,USR1062,conversion,1/9/2022,successful,successful_conversion
373,JNR1004MG,USR1063,lead,1/1/2022,unsuccessful,lead_introduction
374,JNR1004MG,USR1063,lead,1/1/2022,successful,lead_introduction
375,JNR1004MG,USR1063,lead,1/1/2022,successful,demo_schedule
376,JNR1004MG,USR1063,lead,1/1/2022,successful,demo_not_attended
377,JNR1004MG,USR1063,lead,1/1/2022,successful,demo_not_attended
